00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
50-59	UP4P0142	Rigatoni	04dfb55edf6e
50-60	TP5Y0209	Copper_Mini	537dae6a7659
50-61	AP5P0440	Osteology	4770282eaf54
50-62	AP5P0411	Xanas	46ac6c5d0d98
50-63	AP5P0429	Otology	19f72a95bd25
50-64	AP5P0421	Maniaphobia	025d07f5a727
57-61	AP5P0458	Washington_DC	3cd258df0827
57-62	AP5P0454	Honolulu	486169ce3c77
57-63	AP5P0412	Plaksyish	03d0cc81fe48
57-64	AP5P0414	Rocish	77c26865249c
58-61	AP5P0433	Neurology	c57858dec404
58-62	AP5P0452	Montpelier	563e7e10816a
58-63	TP5P0793	Phytophilia	bfc26236a121
58-64	AP5P0428	Nanotechnologyish	8c78fe27060f
59-01	UP5P0594	Chorophobia	1e21b852c1a2
59-02	TP5P0761	Xenobiology	909451edbb61
59-03	UP5H0204	Stuvsta	1d46029ddda4
59-04	TP5H0247	Trekanten	820de71db4de
59-05	UP4Y0042	Alex_Rolinck	0d2bd720bf91
59-06	TP5P0533	North_Wind	60b6146cfe16
59-07	UP5P0890	Glossophilia	92b740e30032
59-08	TP5P0881	Psychrophilia	13301d174e00
59-09	UP5Y0126	LaSalle_Series_52	190ad4380b6e
59-10	TP5Y0173	Alpine_A220	d2c87c4f0172
59-11	UP5P0886	Germanophilia	ffdd1a8c6dc3
59-12	TP5P0851	Rheophilia	1020cb84fd5c
59-13	UP5Y0152	MG_Roadster	fca514352153
59-14	TP5Y0145	Berlin_Schonefeld	ddd6a46d3741
59-15	UP5P0736	Hoplophobia	ea77cadf370a
59-16	TP5P0763	Volcanology	257a4e348fb4
59-17	UP5Y0188	Rambler_American	10342ae1c03b
59-18	TP5Y0175	AMC_Marlin	83d8f521b859
59-19	UP5P0522	Bayamo	9a168e749e4f
59-20	TP5P0781	Pogonophilia	b47fbd7d6299
59-21	UP5H0198	Larsberg	c088f36023c9
59-22	TP5H0239	Norsborg	9b60779fe19f
59-23	UP5Y0196	Saab_9000	307106e2b5cc
59-24	TP5Y0197	Cadillac_Fleetwood	9470e4779291
59-25	UP5P0868	Autogynephilia	c7441f53be59
59-26	TP5P0809	Photophilia	1c4e43cc454e
59-27	UP5P0856	Biophilia	28dddb21dced
59-28	TP5P0699	Turophilia	7eb4dfe7d988
59-29	UP4Y0032	Adambraue	c3bbcd2ca07d
59-30	TP5P0511	Sundowner	8e78563d2179
59-31	UP5P0878	Asiaphilia	e12b26b755ea
59-32	TP5P0741	Metrophilia	1ab4a406af2d
59-33	UP5Y0072	Diamond_Rio	26c8d1767fce
59-34	TP4P0241	Ox	016e4eb4a40e
59-35	UP5P0910	Heliophilia	02496b7fcac7
59-36	TP5P0823	Retrophilia	e6dc25b457fd
59-37	UP5P0538	Jet_Stream	73659395df5e
59-38	TP5P0521	Sumatra	34f67418fb8b
59-39	UP5H0184	Flemingsberg	a3351b112e57
59-40	TP5H0233	Zinkensdamn	5eef7f4656bb
59-41	UP5Y0204	Scion_Tc	d750ad689e1f
59-42	TP5Y0225	Datsun_240Z	96f2901dc9a8
59-43	UP5P1010	Oklahoma	fe2d77898eeb
59-44	TP5P0931	Indianapolis	991ba41de883
59-45	UP5Y0084	Essex_6	cd573e1e4b1a
59-46	TP5Y0103	Pichelsberg	203e9026afb1
59-47	UP5P1022	Colorado	03884df4c15c
59-48	TP5P0945	Frankfort	0e391dad60d4
59-49	UP5P1028	New_Mexico	6b861fd13e9a
59-50	TP5P0947	Concord	c1c6c5f74dd1
59-51	UP5H0174	Medborgarplatsen	86438b93c165
59-52	TP5H0199	T_Centralen	93728135e247
59-53	UP5P1008	Ohio	d547993f356f
59-54	TP5P0867	Olympia	f4c714b6d55e
59-55	UP5Y0128	Lexus_LS	ac6578dd6de3
59-56	TP5Y0131	Potsdamer_Platz	4212834c6c88
59-57	UP5P0812	Criminology	d693f9382554
59-58	TP5P0803	Urology	64b2d010efce
59-59	UP5P0800	Cosmology	e018a94590f6
59-60	TP5P0783	Psychology	34fac78933aa
59-61	AP5P0448	Ontology	f6198104eb64
59-62	AP5P0418	Polyphobia	0b8767be6653
59-63	AP5P0434	Mythology	e6173aaa9722
59-64	AP5P0413	Mermaid	23f9bc167181
66-61	TP4P0183	Cabernet_sauvignon	9355a9ae0ac7
66-62	TP4P0261	Puma	bd8dc77c11c0
66-63	AP5P0405	Mitmit	954812757638
66-64	TP4P0187	Pyrrole	f9286ecd7f2e
67-61	AP5P0432	Mycology	0530dd09f069
67-62	AP5P0404	Vodnik	3ed4966de32e
67-63	AP5P0451	Oklahoma_City	429942a3e830
67-64	AP5P0453	Florida	cf08dc9919da
74-61	AP5P0415	Orc	894993470840
74-62	TP4P0175	Blonde_ale	ea3407c31ec5
74-63	AP5P0422	Tangie	ecdfa3cd6af4
74-64	TP4P0243	Panda	dceae1ccfe93
